medal_type,discipline,country,country_code
Bronze Medal,Canoe Sprint,Moldova,MDA
Gold Medal,Swimming,Romania,ROU
Bronze Medal,Swimming,Romania,ROU
Gold Medal,Rowing,Romania,ROU
Silver Medal,Rowing,Romania,ROU
Silver Medal,Rowing,Romania,ROU
Silver Medal,Rowing,Romania,ROU
Gold Medal,Rowing,Romania,ROU
Gold Medal,Water Polo,Serbia,SRB
Bronze Medal,Sailing,Singapore,SGP
Bronze Medal,Canoe Slalom,Slovakia,SVK
Silver Medal,Sailing,Slovenia,SLO
Gold Medal,Swimming,South Africa,ZAF
Silver Medal,Swimming,South Africa,ZAF
Bronze Medal,Canoe Slalom,Spain,ESP
Gold Medal,Sailing,Spain,ESP
Bronze Medal,Artistic Swimming,Spain,ESP
Bronze Medal,Canoe Sprint,Spain,ESP
Bronze Medal,Canoe Sprint,Spain,ESP
Gold Medal,Water Polo,Spain,ESP
Gold Medal,Swimming,Sweden,SWE
Silver Medal,Sailing,Sweden,SWE
Gold Medal,Swimming,Sweden,SWE
Bronze Medal,Sailing,Sweden,SWE
Bronze Medal,Swimming,Switzerland,SUI
Bronze Medal,Rowing,Switzerland,SUI
Silver Medal,Canoe Sprint,Ukraine,UKR
